location_id,name,type,location,address,status,food_items,latitude,longitude
1337431,Liang Bai Ping,Truck,SHAFTER AVE: GRIFFITH ST to HAWES ST (1100 - 1199),1127 SHAFTER AVE,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.725945558046500,-122.38228115325300
1332938,Mini Mobile Food Catering,Truck,BERRY ST: 06TH ST to KING ST (400 - 431),420 BERRY ST,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,37.77200865646880,-122.3990838454730
1336036,Paradise Catering,Truck,HOWARD ST: 08TH ST to 09TH ST (1200 - 1299),1252 HOWARD ST,EXPIRED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.775725484934800,-122.41265612258900
1336739,Quan Catering,Truck,BRANNAN ST: HARRIET ST to LUCERNE ST (715 - 743),722 BRANNAN ST,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,37.77444911077540,-122.40208723606300
1336731,Quan Catering,Truck,,3305 03RD ST,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,37.74383117213270,-122.37779736896200
1336033,Paradise Catering,Truck,HARRIET ST: HOWARD ST to FOLSOM ST (1 - 99),15 HARRIET ST,EXPIRED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.77917621076680,-122.40722175847200
934579,May Catering,Truck,29TH ST: DOLORES ST to CHURCH ST (200 - 299),210 29TH ST,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.744039098601700,-122.4250941863310
1336029,Paradise Catering,Truck,FRANKLIN ST: HAYES ST to IVY ST (300 - 348),300 FRANKLIN ST,EXPIRED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.77765783621040,-122.42065233083300
934606,May Catering,Truck,23RD ST: HARRISON ST to TREAT AVE (3000 - 3053),3050 23RD ST,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.75447643410750,-122.4128553632840
934618,May Catering,Truck,MISSION ST: BEALE ST to FREMONT ST (300 - 399),350 MISSION ST,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.79088546350190,-122.39668587581100
1526959,Kid Abelha - Brazilian Hamburgers,Truck,NAPOLEON ST: EVANS AVE \ TOLAND ST to JERROLD AVE (25 - 299),Assessors Block /Lot,REQUESTED,,0,0
755221,Fruteria Serrano,,MISSION ST: OCEAN AVE to PERSIA AVE (4650 - 4699),4650 MISSION ST,REQUESTED,Fruits including mangoes: pineapples: coconuts: watermelon: corn: cucumber: potatoes chips: water: Mexican drinks: sodas: juices: snow cones,37.723661279505300,-122.43594382524000
848185,Reecees Soulicious,Truck,03RD ST: NEWCOMB AVE to OAKDALE AVE (4701 - 4799) -- EAST --,4705 03RD ST,REQUESTED,Fried Chicken: Fried Fish: Greens: Mac & Cheese: Peach Cobbler: and String beans,37.735004228951400,-122.39017246970000
934615,May Catering,Truck,BRYANT ST: 11TH ST \ 13TH ST \ DIVISION ST to DIVISION ST (1300 - 1319),1300 BRYANT ST,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.769087126767100,-122.41152766713200
848080,Taqueria Lolita,Truck,RANKIN ST: DAVIDSON AVE to EVANS AVE (200 - 299),1700 EVANS AVE,SUSPEND,Tacos: burritos: quesadillas: combination plates: tortas: tostadas,37.744889286143,-122.39097197693500
1010174,Julie's Hot Dogs,Truck,MISSION ST: 19TH ST to 20TH ST (2300 - 2399),2386 MISSION ST,REQUESTED,Hot dogs: bacon-wrapped hot dogs: chicken burgers: energy drinks: water and various other drinks.,37.75887999201480,-122.41937920298400
1265597,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",Push Cart,POST ST: STOCKTON ST to POWELL ST (300 - 399),Assessors Block /Lot,REQUESTED,American Food: Hot dogs: pretzels: ice cream: salads: beverages: sandwiches: soup: coffee: pastries:etc.,0,0
627558,"Off the Grid Services, LLC",Truck,DAVIS ST: DAVIS CT \ JACKSON ST to BROADWAY (500 - 699),Assessors Block /Lot,REQUESTED,varies truck to truck,0,0
1336038,Paradise Catering,Truck,MINNA ST: 08TH ST to 09TH ST (700 - 799),786 MINNA ST,EXPIRED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.776222759514200,-122.41390733044100
1337442,Liang Bai Ping,Truck,YOSEMITE AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1420 YOSEMITE AVE,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.725181700728800,-122.38819268844400
1548490,MOMO INNOVATION LLC,Truck,CALIFORNIA ST: BATTERY ST to SANSOME ST (300 - 399),351 CALIFORNIA ST,REQUESTED,Noodles: Meat & Drinks,37.792870749741500,-122.4007474940770
1337450,Liang Bai Ping,Truck,FELL ST: BRODERICK ST to BAKER ST (1300 - 1399),1377 FELL ST,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.773287940470400,-122.44003231663500
1336730,Quan Catering,Truck,02ND ST: HOWARD ST to TEHAMA ST (200 - 227),222 02ND ST,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,37.78631979828400,-122.39823507424900
1336042,Paradise Catering,Truck,MISSION ST: 07TH ST to ANGELOS ALY \ JULIA ST (1100 - 1165),1131 MISSION ST,EXPIRED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.77838535864770,-122.41138253950000
1332937,Mini Mobile Food Catering,Truck,BERRY ST: 05TH ST to 06TH ST (300 - 399),355 BERRY ST,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,37.772363914767300,-122.39704097036300
1336030,Paradise Catering,Truck,FRANKLIN ST: FULTON ST to MCALLISTER ST (466 - 599),301 VAN NESS AVE,EXPIRED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.77905544246840,-122.42093519603600
1336676,Mike's Catering,Truck,TERRY A FRANCOIS BLVD: MISSION BAY BLVD to MISSION BAY BLVD (0 - 0),Assessors Block 8722/Lot005,EXPIRED,Cold Truck: packaged sandwiches: snacks: candy: hot and cold drinks,37.76964003221770,-122.38623665419900
364218,The Chai Cart,Push Cart,NEW MONTGOMERY ST: AMBROSE BIERCE ST to MISSION ST (77 - 99),79 NEW MONTGOMERY ST,SUSPEND,Hot Indian Chai (Tea),37.78788969990610,-122.40053532677700
1544289,Cochinita,Truck,07TH AVE: LINCOLN WAY to HUGO ST (1200 - 1246),1219 07TH AVE,REQUESTED,Mexican Food: Yucatan Food: Street Food,37.76549698761920,-122.46459761957100
931093,Swell Cream & Coffee,Truck,TARAVAL ST: 36TH AVE to SUNSET BLVD (2600 - 2649),2401 36TH AVE,REQUESTED,Ice cream: coffee: pastries,37.7412902847707,-122.49437792043500
1336736,Quan Catering,Truck,CESAR CHAVEZ ST: CONNECTICUT ST to EVANS AVE (1900 - 2099),2190 CESAR CHAVEZ ST,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,37.75023688477910,-122.39781803171900
1511641,Lerso,Truck,MISSION ST: 10TH ST to 11TH ST (1400 - 1499),1450 MISSION ST,REQUESTED,Pernil Asado: Ropa Vieja: Arroz con Pollo: Cuban Sandwich: Croquetas Fritas: Tostones: Platanos Maduros: Yuca Frita,37.77522830783410,-122.41746613187000
1337430,Liang Bai Ping,Truck,REVERE AVE: GRIFFITH ST to CRISP RD (1100 - 1188),1135 REVERE AVE,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72647071624600,-122.38154121915800
1336679,Mike's Catering,Truck,CESAR CHAVEZ ST: EVANS AVE to KANSAS ST (2100 - 2550),2323 CESAR CHAVEZ ST,EXPIRED,Cold Truck: packaged sandwiches: snacks: candy: hot and cold drinks,37.748801377714500,-122.40055245878500
1552756,Corazon Maya,Truck,MISSION ST: 17TH ST to CLARION ALY (2100 - 2131),2109 MISSION ST,REQUESTED,Tacos: Burritos: Quesadillas: Tortas,37.76317461963380,-122.41900951477100
1336040,Paradise Catering,Truck,MISSION ST: 06TH ST to 07TH ST (1000 - 1099),1045 MISSION ST,EXPIRED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.77974457293880,-122.40964834306100
934612,May Catering,Truck,WISCONSIN ST: 16TH ST to 17TH ST (100 - 199),166 WISCONSIN ST,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.76543386848270,-122.40019820529400
934594,May Catering,Truck,YORK ST: 19TH ST to 20TH ST (700 - 799),720 YORK ST,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.7598258374358,-122.40920291508300
934591,May Catering,Truck,YORK ST: MARIPOSA ST to 18TH ST (500 - 599),501 YORK ST,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.76291431161150,-122.40895116153800
997504,Munch India,Truck,POST ST: MONTGOMERY ST to LICK PL (1 - 40),Assessors Block /Lot,REQUESTED,Daily rotating menus consisting of various local & organic vegetable: poultry: meat: seafood : rice & bread dishes.,0,0
1337429,Liang Bai Ping,Truck,REVERE AVE: GRIFFITH ST to CRISP RD (1100 - 1188),1160 REVERE AVE,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.727234007495900,-122.38181551187000
1341238,Halal Cart of San Francisco,Push Cart,CALIFORNIA ST: LEIDESDORFF ST to MONTGOMERY ST (449 - 499),400 MONTGOMERY ST,EXPIRED,Halal Gyro over Rice: Halal Chicken over Rice: Halal Gyro: and Chicken Sandwich,37.79314862698350,-122.4025671755780
1336031,Paradise Catering,Truck,GEARY ST: HYDE ST to LARKIN ST (800 - 899),855 GEARY ST,EXPIRED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.78591568786930,-122.4173022846850
1332944,Mini Mobile Food Catering,Truck,HARRISON ST: BEALE ST to FREMONT ST \ I-80 W OFF RAMP (300 - 399),355 FREMONT ST,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,37.78732241931990,-122.39222370638300
1544285,Cochinita,Truck,02ND ST: BRYANT ST to TABER PL (500 - 518),501 02ND ST,REQUESTED,Mexican Food: Yucatan Food: Street Food,37.783171104343400,-122.39290104947900
1337455,Liang Bai Ping,Truck,JENNINGS ST: VAN DYKE AVE to WALLACE AVE (2100 - 2199),2115 JENNINGS ST,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72672797825710,-122.38865842883200
1552372,Breakfast Embed,Truck,01ST ST: TEHAMA ST to CLEMENTINA ST (232 - 274),234 01ST ST,REQUESTED,Coffee: Pastries: Bagels: Sandwiches: Other Items,37.7877332717998,-122.39566345752200
1337441,Liang Bai Ping,Truck,YOSEMITE AVE: HAWES ST to INGALLS ST (1300 - 1399),1335 YOSEMITE AVE,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72387884083250,-122.3870108787850
1332941,Mini Mobile Food Catering,Truck,FOLSOM ST: 12TH ST to 13TH ST (1600 - 1699),1690 FOLSOM ST,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,37.77013758050150,-122.41598340280400
1336729,Quan Catering,Truck,SELBY ST: HUDSON AVE to INNES AVE (500 - 599),500 SELBY ST,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,37.74449821321120,-122.39695540584200
751253,Pipo's Grill,Truck,FOLSOM ST: 14TH ST to 15TH ST (1800 - 1899),1800 FOLSOM ST,REQUESTED,Tacos: Burritos: Hot Dogs: and Hamburgers,37.76785244271810,-122.41610489253200
1336738,Quan Catering,Truck,BEALE ST: HARRISON ST to BRYANT ST \ DELANCEY ST (400 - 499),400 BEALE ST,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,37.78690491945700,-122.39092026296200
1366268,Golden Gate Halal Food,Push Cart,MARKET ST: MASON ST \ TURK ST to 06TH ST \ GOLDEN GATE AVE \ TAYLOR ST (943 - 999) -- SOUTH --,979 MARKET ST,REQUESTED,Pulao Plates & Sandwiches: Various Drinks,37.78228077241860,-122.40953118732000
934573,May Catering,Truck,TOLAND ST: KIRKWOOD AVE to MCKINNON AVE (600 - 799),600 TOLAND ST,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.74344004200520,-122.39993256957700
1332940,Mini Mobile Food Catering,Truck,11TH ST: FOLSOM ST to HARRISON ST (300 - 399),355 11TH ST,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,37.77146721590100,-122.41287229421000
1336022,Paradise Catering,Truck,COLUMBIA SQUARE ST: FOLSOM ST to HARRISON ST (1 - 99),57 COLUMBIA SQUARE ST,EXPIRED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.77738314510620,-122.40545816650100
773095,Athena SF Gyro,Push Cart,MARKET ST: 11TH ST intersection,10 SOUTH VAN NESS AVE,REQUESTED,Gyro pita bread (Lamb or chicken): lamb over rice: chicken over rice: chicken biryani rice: soft drinks,37.77425926306000,-122.41948598839800
934623,May Catering,Truck,ULLOA ST: WOODSIDE AVE to SYDNEY WAY (1 - 56),2 ULLOA ST,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.74563668388080,-122.45423318865700
1552671,Izzy's Cheesesteaks,Truck,BATTERY ST: CALIFORNIA ST to HALLECK ST (200 - 230),255 BATTERY ST,REQUESTED,Cheesesteaks: French Fries: and Drinks,37.79344652781610,-122.40034367559200
1337926,La Jefa,,SUTTER ST: SANSOME ST to MONTGOMERY ST (50 - 99),80 SUTTER ST,REQUESTED,Tacos: burritos: quesadillas: tortas: nachos (refried beans: cheese sauce: salsa fresca): carnes (beef: chicken: marinated pork: fried pork): canned beans: rice: sodas: horchata drinks.,37.79034624734140,-122.4018501909890
934552,"Casey's Pizza, LLC",Truck,MISSION ST: NEW MONTGOMERY ST to ANNIE ST (635 - 664),654 MISSION ST,EXPIRED,Artisan Pizzas (Margherita: Yukon Potato: Zoe's Pepperoni: Funghi: Brocolli Rabe: Bacon Kale:  Arugula) and Drinks.,37.78718284771540,-122.40123480885100
1337440,Liang Bai Ping,Truck,WALLACE AVE: JENNINGS ST to KEITH ST (1500 - 1599),1500 WALLACE AVE,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.726725793811800,-122.38924985802700
1337432,Liang Bai Ping,Truck,THOMAS AVE: GRIFFITH ST to HAWES ST (1100 - 1199),1180 THOMAS AVE,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.726125239645000,-122.38319932723900
934598,May Catering,Truck,26TH ST: SHOTWELL ST to VIRGIL ST (3251 - 3273),3251 26TH ST,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.74876215147920,-122.41432682875500
1337787,Giant Burrito,Truck,GENEVA AVE: PRAGUE ST to LINDA VISTA STPS (1500 - 1598) -- SOUTH --,1500 GENEVA AVE,REQUESTED,Tacos: Burritos: Tostadas: Flautas: Tostadas: Tortas: Pozole Menudo,37.712302604744400,-122.43164419037300
453012,Tacos Santana,,CARROLL AVE: QUINT ST to BAY SHORE BLVD \ THORNTON AVE (2100 - 2199),2101 CARROLL AVE,EXPIRED,,37.73022168130490,-122.40297852668600
1336039,Paradise Catering,Truck,MISSION ST: 06TH ST to 07TH ST (1000 - 1099),1023 MISSION ST,EXPIRED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.78021593850250,-122.40905748550100
934584,May Catering,Truck,26TH ST: TREAT AVE \ TREAT WAY to LUCKY ST (3133 - 3164),3150 26TH ST,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.74953311452310,-122.413116536729
1544288,Cochinita,Truck,BRYANT ST: 04TH ST \ I-80 E OFF RAMP to 05TH ST \ I-80 E ON RAMP (600 - 699),617 BRYANT ST,REQUESTED,Mexican Food: Yucatan Food: Street Food,37.779051111573100,-122.39830388133400
1336024,Paradise Catering,Truck,10TH ST: FOLSOM ST to SHERIDAN ST (300 - 353),340 10TH ST,EXPIRED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,37.77200984067110,-122.41246279621400
1336735,Quan Catering,Truck,CESAR CHAVEZ ST: INDIANA ST to IOWA ST (1300 - 1399),1301 CESAR CHAVEZ ST,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,37.74925585952910,-122.39097537957700
934610,May Catering,Truck,CESAR CHAVEZ ST: EVANS AVE to KANSAS ST (2100 - 2550),2400 CESAR CHAVEZ ST,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.749916469391000,-122.40113011221200
934517,Scotch Bonnet,Truck,MONTGOMERY ST: POST ST to SUTTER ST (1 - 99),25 MONTGOMERY ST,EXPIRED,Jerk chicken: curry chicken: curry goat: curry dhal: Burritos: Fish: Ox tails: rice: beans: veggies.,37.78948669612780,-122.40246743800400
934575,May Catering,Truck,JERROLD AVE: UPTON ST to NAPOLEON ST (2201 - 2299),2270 JERROLD AVE,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.7461044517152,-122.40036183496500
1089427,Halal Food,Push Cart,CALIFORNIA ST: DRUMM ST to DAVIS ST (1 - 99),50 CALIFORNIA ST,REQUESTED,rice chicken beef hot dogs and sandwich's and coke and water,37.79405318373290,-122.39734769332600
1336777,Golden Catering,Truck,EXECUTIVE PARK BLVD: CRESCENT WAY to HARNEY WAY (300 - 399),301 EXECUTIVE PARK BLVD,EXPIRED,Cold Truck: Pre-packaged Sandwiches: Various Beverages: Salads: Snacks,37.71163228119490,-122.39001633363600
1336682,Mike's Catering,Truck,BROADWAY: POWELL ST \ ROBERT C LEVY TUNL to MASON ST (800 - 898) -- NORTH --,860 BROADWAY,EXPIRED,Cold Truck: packaged sandwiches: snacks: candy: hot and cold drinks,37.79757898806040,-122.41143988608900
934554,"Casey's Pizza, LLC",Truck,SPEAR ST: MISSION ST to HOWARD ST (100 - 199),100 SPEAR ST,EXPIRED,Artisan Pizzas (Margherita: Yukon Potato: Zoe's Pepperoni: Funghi: Brocolli Rabe: Bacon Kale:  Arugula) and Drinks.,37.792150548481700,-122.39399997405900
934551,"Casey's Pizza, LLC",Truck,FELL ST: GOUGH ST to OCTAVIA ST (300 - 399),368 FELL ST,EXPIRED,Artisan Pizzas (Margherita: Yukon Potato: Zoe's Pepperoni: Funghi: Brocolli Rabe: Bacon Kale:  Arugula) and Drinks.,37.77604870809230,-122.42393921117200
1337448,Liang Bai Ping,Truck,DONNER AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1475 CARROLL AVE,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.72325986632420,-122.39117288596900
934555,"Casey's Pizza, LLC",Truck,SANSOME ST: PINE ST to CALIFORNIA ST (200 - 299),231 SANSOME ST,EXPIRED,Artisan Pizzas (Margherita: Yukon Potato: Zoe's Pepperoni: Funghi: Brocolli Rabe: Bacon Kale:  Arugula) and Drinks.,37.792609401119000,-122.40131490545100
1337436,Liang Bai Ping,Truck,UNDERWOOD AVE: INGALLS ST to JENNINGS ST (1300 - 1399),1351 UNDERWOOD AVE,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.7270146636245,-122.38749735902200
1332948,Mini Mobile Food Catering,Truck,LOOMIS ST: FLOWER ST to WATERLOO ST (120 - 255),491 BAY SHORE BLVD,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,0,0
